JDHEL V-C s1 V-K1 s2 C-K1 s3 HELCOR AIRMASS
Aperture: 4, Filter: IRCUT, JD: heliocentric
2461182.3619639 -0.45138 0.03574 1.08387 0.02153 1.53525 0.03030 0.0039882 2.0357
2461182.3620978 99.99999 9.99999 99.99999 9.99999 1.70621 0.03565 0.0039882 2.0363
2461182.3624286 -0.46021 0.03618 1.15755 0.02162 1.61777 0.03071 0.0039882 2.0379
2461182.3625609 -0.40905 0.03566 0.93794 0.02202 1.34700 0.03056 0.0039881 2.0385
2461182.3626936 -0.49333 0.04244 1.26384 0.02363 1.75717 0.03663 0.0039881 2.0392
2461182.3628278 -0.48700 0.03943 99.99999 9.99999 99.99999 9.99999 0.0039881 2.0398
2461182.3630276 -0.43497 0.03483 1.14340 0.02009 1.57837 0.02999 0.0039881 2.0408
2461182.3632930 99.99999 9.99999 99.99999 9.99999 1.77789 0.03371 0.0039881 2.0421
2461182.3634254 -0.45410 0.03858 1.17179 0.02216 1.62589 0.03318 0.0039881 2.0428
2461182.3635586 -0.31506 0.04075 1.29234 0.02496 1.60741 0.03398 0.0039881 2.0434
2461182.3638267 -0.43095 0.03769 1.18000 0.02203 1.61095 0.03237 0.0039881 2.0447
2461182.3641557 99.99999 9.99999 99.99999 9.99999 1.36726 0.03484 0.0039880 2.0464
2461182.3642877 -0.50930 0.03876 1.08580 0.02210 1.59509 0.03360 0.0039880 2.0471
2461182.3644222 99.99999 9.99999 99.99999 9.99999 1.47369 0.03187 0.0039880 2.0477
